No. Orden,N° de serie,Year,Quarter,Month,Day,Categoría,T. respuesta,Business Team,Pago Base CDMX y área metropolitana,Pago Base Interior,menos de 3 días,entre 3 y 6 días,entre 7 y 15 días,entre 16 y 30 días,entre 31 y 59 días,60 días o más,REGION,TR Ciudades principales,TR Otras ciudades,Loc TR,familia matriz global,Ruta,Year.1,Quarter.1,Month.1,Day.1,RESIDENTE/FIJO,time,viabilidad,veces_obj,pagofinal
66987,08TB592525,2019,Qtr 1,March,21,CORRECTIVO,0.15,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,CHIHUAHUA,2019,Qtr 2,April,16,1,29,0,0,0
67149,0BG2948893,2019,Qtr 1,March,22,CORRECTIVO,2.65,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,4,0,9,0.8,0.6625,1258.4
67180,0LX5697800,2019,Qtr 1,March,22,CORRECTIVO,1.066667,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,CHIHUAHUA,2019,Qtr 2,April,4,0,17,0.8,0.2133334,1092
67353,0KPA018838,2019,Qtr 1,March,25,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Departmental Digital,CHIHUAHUA,2019,Qtr 2,April,1,0,11,0,0,715
67360,09HB916006,2019,Qtr 1,March,25,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,QUERETARO,2019,Qtr 2,April,12,NA,0,0,0,0
67378,08TB610158,2019,Qtr 1,March,25,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,COAHUILA,2019,Qtr 2,April,5,NA,0,0,0,0
67431,0BG2949298,2019,Qtr 1,March,25,CORRECTIVO,2.733333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,ESTADO DE MEXICO,2019,Qtr 2,April,2,0,14,0.8,0.68333325,1258.4
67451,0EX9299901,2019,Qtr 1,March,25,CORRECTIVO,2.783333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,TAMAULIPAS,2019,Qtr 2,April,2,0,348,1.1,0.5566666,1501.5
67539,0AB9779149,2019,Qtr 1,March,25,CORRECTIVO,0,Color Laser Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Departmental Digital,QUERETARO,2019,Qtr 2,April,8,0,193,1.05,0,750.75
67647,0XKK418248,2019,Qtr 1,March,26,CORRECTIVO,0.35,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,COAHUILA,2019,Qtr 2,April,1,NA,39,0,0,0
67653,0BG2946876,2019,Qtr 1,March,26,CORRECTIVO,3.95,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,GUANAJUATO,2019,Qtr 2,April,2,0,7,0.8,0.9875,1258.4
67697,0Y4X859271,2019,Qtr 1,March,26,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Light Production Digital Business,CHIHUAHUA,2019,Qtr 2,April,3,NA,0,0,0,0
67712,0DRB131260,2019,Qtr 1,March,26,CORRECTIVO,1.816667,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,JALISCO,2019,Qtr 2,April,5,0,61,1.15,0.45416675,1808.95
67792,0A2T370631,2019,Qtr 1,March,26,CORRECTIVO,2.233333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,SAN LUIS POTOSI,2019,Qtr 2,April,12,NA,0,0,0,0
67814,0LBP345977,2019,Qtr 1,March,27,CORRECTIVO,4,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,3,NA,0,0,0,0
67826,0BG2947932,2019,Qtr 1,March,27,CORRECTIVO,1.433333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,QUERETARO,2019,Qtr 2,April,15,0,41,1.1,0.35833325,1730.3
67982,0EX9293999,2019,Qtr 1,March,27,CORRECTIVO,1.066667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,GUANAJUATO,2019,Qtr 2,April,2,0,7,0.6,0.2133334,819
67999,7TX135776,2019,Qtr 1,March,27,MANTENIMIENTO PREVENTIVO,0,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,MICHOACAN,2019,Qtr 2,April,16,0,20,0,0,1365
68008,0E2B646622,2019,Qtr 1,March,27,CORRECTIVO,0.7,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,COLIMA,2019,Qtr 2,April,1,1,37,0,0,0
68024,0BG2951627,2019,Qtr 1,March,28,CORRECTIVO,0.06666667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,TAMAULIPAS,2019,Qtr 2,April,15,0,6,0.6,0.0166666675,943.8
68050,03BT801962,2019,Qtr 1,March,28,INSTALACION NUEVA,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,SAN LUIS POTOSI,2019,Qtr 2,April,1,0,34,0,0,715
68113,0FBG479583,2019,Qtr 1,March,28,CORRECTIVO,1.383333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,4,0,7,0.8,0.2305555,1258.4
68117,0BG2946750,2019,Qtr 1,March,28,CORRECTIVO,1.816667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,CHIHUAHUA,2019,Qtr 2,April,1,0,3,0.6,0.45416675,943.8
68136,0PW4111396,2019,Qtr 1,March,28,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,COAHUILA,2019,Qtr 2,April,3,0,155,0,0,1573
68188,0Y4X847244,2019,Qtr 1,March,28,CORRECTIVO,0.06666667,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,METRO,5,9,Ciudad principal,Light Production Digital Business,ESTADO DE MEXICO,2019,Qtr 2,April,1,1,115,0,0,0
68190,0A2T369923,2019,Qtr 1,March,28,CORRECTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Otras,A4 Mono MFPs,TAMAULIPAS,2019,Qtr 2,April,4,0,66,1.05,0,750.75
68202,03AG880144,2019,Qtr 1,March,28,CORRECTIVO,0.25,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,NUEVO LEON,2019,Qtr 2,April,2,0,7,0.6,0.05,819
68219,09HB326116,2019,Qtr 1,March,28,CORRECTIVO,0.6833333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,TAMAULIPAS,2019,Qtr 2,April,3,NA,0,0,0,0
68235,0EX9293515,2019,Qtr 1,March,28,CORRECTIVO,0.03333334,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,1,0,8,0.6,0.006666668,819
68256,0B2R088255,2019,Qtr 1,March,29,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,COLIMA,2019,Qtr 2,April,2,0,4,0,0,1573
68257,0VGW624391,2019,Qtr 1,March,29,CORRECTIVO,1.65,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,CHIHUAHUA,2019,Qtr 2,April,2,0,15,0.8,0.4125,1258.4
68268,0BG2949312,2019,Qtr 1,March,29,CORRECTIVO,1.316667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,ESTADO DE MEXICO,2019,Qtr 2,April,1,0,31,1.1,0.32916675,1730.3
68276,0CX0060974,2019,Qtr 1,March,29,CORRECTIVO,0.2333333,Entry Production Color Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color High,CHIHUAHUA,2019,Qtr 2,April,1,0,25,1.05,0.058333325,1651.65
68324,0EX9293200,2019,Qtr 1,March,29,CORRECTIVO,1.633333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,SAN LUIS POTOSI,2019,Qtr 2,April,2,0,45,1.05,0.3266666,1433.25
68352,0EX9297293,2019,Qtr 1,March,29,CORRECTIVO,2.083333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,COAHUILA,2019,Qtr 2,April,1,0,32,1.05,0.4166666,1433.25
68377,0BG2940184,2019,Qtr 1,March,29,CORRECTIVO,0.5,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,JALISCO,2019,Qtr 2,April,4,0,1,0.2,0.125,314.6
68400,0Y4X848009,2019,Qtr 1,March,29,CORRECTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,METRO,5,9,Ciudad principal,Light Production Digital Business,CIUDAD DE MEXICO,2019,Qtr 2,April,1,1,0,0,0,0
68406,0C4X006454,2019,Qtr 1,March,29,CORRECTIVO,0.1,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,2,NA,0,0,0,0
68408,0E2B646560,2019,Qtr 1,March,31,CORRECTIVO,1.3,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,TAMAULIPAS,2019,Qtr 2,April,2,0,45,1.1,0.325,1730.3
68409,0EX9309804,2019,Qtr 1,March,31,CORRECTIVO,0.5166667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,QUERETARO,2019,Qtr 2,April,1,0,5,0,0.10333334,0
68411,0BG2945208,2019,Qtr 1,March,31,CORRECTIVO,0.4,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,4,0,5,0.6,0.1,943.8
68412,K3A706937,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,COAHUILA,2019,Qtr 2,April,1,0,108,0,0,715
68413,09HB321575,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0.1666667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,1,0,23,0,0,715
68414,0XLV886888,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,1,0,30,0,0,715
68415,0C4X011068,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,TAMAULIPAS,2019,Qtr 2,April,1,0,17,0,0,715
68416,0BG2946786,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,1,0,2,0,0,1573
68418,0E2B656860,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,CHIHUAHUA,2019,Qtr 2,April,1,0,48,0,0,1573
68424,09HB333670,2019,Qtr 2,April,1,CORRECTIVO,0.9333333,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,1,0,17,0.6,0.18666666,429
68426,09HB331491,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,1,NA,46,0,0,0
68438,0XPN546792,2019,Qtr 2,April,1,CORRECTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,CHIHUAHUA,2019,Qtr 2,April,1,0,13,0.8,0,1258.4
68440,0A1H020735,2019,Qtr 2,April,1,CORRECTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,CHIHUAHUA,2019,Qtr 2,April,4,0,45,1.1,0,1730.3
68443,0A4T021913,2019,Qtr 2,April,1,CORRECTIVO,1.283333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,3,NA,0,0,0,0
68446,0BG2947475,2019,Qtr 2,April,1,CORRECTIVO,0.5833333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,High End Cut Sheet,COAHUILA,2019,Qtr 2,April,1,0,55,1.1,0.0972222166666667,1730.3
68451,0XFN041395,2019,Qtr 2,April,1,CORRECTIVO,4.166667,Color Solid Ink Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Color Solid Ink Printers,TAMAULIPAS,2019,Qtr 2,April,2,0,66,1.05,0.8333334,750.75
68454,09HB332047,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,1,1,53,0,0,0
68456,0XFN041542,2019,Qtr 2,April,1,CORRECTIVO,3.966667,Color Solid Ink Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Color Solid Ink Printers,TAMAULIPAS,2019,Qtr 2,April,2,0,20,0.6,0.7933334,429
68457,0PW4152292,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,JALISCO,2019,Qtr 2,April,1,0,5,0,0,1573
68458,0AE7146573,2019,Qtr 2,April,1,CORRECTIVO,3.95,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,TAMAULIPAS,2019,Qtr 2,April,5,0,311,1.1,0.79,1501.5
68460,0BG0966721,2019,Qtr 2,April,1,CORRECTIVO,0.9333333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,GUANAJUATO,2019,Qtr 2,April,9,0,4,0.6,0.233333325,943.8
68463,0XLT280678,2019,Qtr 2,April,1,CORRECTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Entry Mono Printers,CHIHUAHUA,2019,Qtr 2,April,3,0,35,0.8,0,572
68468,0VGW632064,2019,Qtr 2,April,1,CORRECTIVO,0,A3 Professional Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Entry Production Color Low/Mid,CHIHUAHUA,2019,Qtr 2,April,1,0,7,0.6,0,819
68485,0BB1252119,2019,Qtr 2,April,1,CORRECTIVO,0.2833333,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,1,0,32,0.8,0.05666666,572
68487,0X76707584,2019,Qtr 2,April,1,CORRECTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,QUERETARO,2019,Qtr 2,April,3,0,4,0,0,0
68495,0XEH805610,2019,Qtr 2,April,1,CORRECTIVO,1.116667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,CHIHUAHUA,2019,Qtr 2,April,1,0,52,1.05,0.2233334,1433.25
68498,0EX9664447,2019,Qtr 2,April,1,CORRECTIVO,0.45,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,1,0,10,0.6,0.09,819
68512,0BG2940370,2019,Qtr 2,April,1,CORRECTIVO,1.433333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,CHIHUAHUA,2019,Qtr 2,April,12,0,4,0.6,0.35833325,943.8
68518,0X76092798,2019,Qtr 2,April,1,CORRECTIVO,1.55,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,1,0,263,1.1,0.31,1501.5
68521,0Y4X830352,2019,Qtr 2,April,1,CORRECTIVO,0.4833333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,DURANGO,2019,Qtr 2,April,2,0,32,1.05,0.09666666,1433.25
68528,0MX1216569,2019,Qtr 2,April,1,CORRECTIVO,1.633333,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,CHIHUAHUA,2019,Qtr 2,April,1,0,255,1.1,0.3266666,1501.5
68529,0A1H021199,2019,Qtr 2,April,1,CORRECTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,CHIHUAHUA,2019,Qtr 2,April,1,1,54,0,0,0
68530,09HB331982,2019,Qtr 2,April,1,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,VERACRUZ,2019,Qtr 2,April,1,NA,12,0,0,0
68531,0X76707945,2019,Qtr 2,April,1,CORRECTIVO,1.183333,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Otras,Departmental Digital,COAHUILA,2019,Qtr 2,April,1,0,6,0,0.131481444444444,0
68533,09HB332981,2019,Qtr 2,April,1,CORRECTIVO,0.6,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,1,NA,0,0,0,0
68534,09HB331812,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,1,1,27,0,0,0
68536,C7X376359,2019,Qtr 2,April,1,CORRECTIVO,0.3166667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,COAHUILA,2019,Qtr 2,April,4,NA,73,0,0,0
68537,09HB331516,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,1,1,10,0,0,0
68539,0A4T036168,2019,Qtr 2,April,1,CORRECTIVO,0.85,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,3,0,0,1.05,0.17,750.75
68541,0BG2951676,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,TAMAULIPAS,2019,Qtr 2,April,1,0,3,0,0,1573
68542,0EX7387236,2019,Qtr 2,April,1,CORRECTIVO,2.183333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,CHIHUAHUA,2019,Qtr 2,April,1,0,6,0,0.4366666,0
68546,0C4X011834,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Otras,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,1,0,26,0,0,715
68550,0A4T558109,2019,Qtr 2,April,1,CORRECTIVO,1.666667,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,GUANAJUATO,2019,Qtr 2,April,3,0,383,1.05,0.3333334,750.75
68552,0EX9293168,2019,Qtr 2,April,1,CORRECTIVO,2.233333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,GUANAJUATO,2019,Qtr 2,April,3,0,21,0.8,0.4466666,1092
68565,03AG880377,2019,Qtr 2,April,1,CORRECTIVO,1,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,GUANAJUATO,2019,Qtr 2,April,1,0,11,0.6,0.2,819
68570,0EX9293515,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,1,0,0,0,0,1365
68572,03BT802413,2019,Qtr 2,April,1,CORRECTIVO,1.366667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,1,0,209,1.05,0.2733334,750.75
68573,06TB445710,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,JALISCO,2019,Qtr 2,April,1,0,10,0,0,1365
68578,0C7X246843,2019,Qtr 2,April,1,CORRECTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,TAMAULIPAS,2019,Qtr 2,April,1,0,3,0,0,0
