N° de serie,Year,Quarter,Month,Day,Categoría,T. respuesta,Business Team,Pago Base CDMX y área metropolitana,Pago Base Interior,menos de 3 días,entre 3 y 6 días,entre 7 y 15 días,entre 16 y 30 días,entre 31 y 59 días,60 días o más,REGION,TR Ciudades principales,TR Otras ciudades,Loc TR,familia matriz global,Cliente,Ruta,Year.1,Quarter.1,Month.1,Day.1,time,viabilidad,veces_obj,pagofinal
0EX9299901,2019,Qtr 1,March,25,CORRECTIVO,2.783333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,2,348,1.1,0.5566666,1501.5
0KPA018838,2019,Qtr 1,March,25,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,12,0,0,715
0BG2946876,2019,Qtr 1,March,26,CORRECTIVO,3.95,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,2,7,0.8,0.9875,1258.4
0DRB131260,2019,Qtr 1,March,26,CORRECTIVO,1.816667,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,5,64,1.15,0.45416675,1808.95
0XKK418248,2019,Qtr 1,March,26,CORRECTIVO,0.35,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,1,41,1.1,0,1433.25
0BG2947932,2019,Qtr 1,March,27,CORRECTIVO,1.433333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,QUERETARO,2019,Qtr 2,April,15,41,1.1,0.35833325,1730.3
0EX9293999,2019,Qtr 1,March,27,CORRECTIVO,1.066667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,2,15,0.6,0.2133334,819
0LBP345977,2019,Qtr 1,March,27,CORRECTIVO,4,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,3,0,1.1,0,750.75
7TX135776,2019,Qtr 1,March,27,MANTENIMIENTO PREVENTIVO,0,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,MICHOACAN,2019,Qtr 2,April,16,76,0,0,1365
03AG880144,2019,Qtr 1,March,28,CORRECTIVO,0.25,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,2,7,0.6,0.05,819
03BT801962,2019,Qtr 1,March,28,INSTALACION NUEVA,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,SAN LUIS POTOSI,2019,Qtr 2,April,1,34,0,0,715
0A2T369923,2019,Qtr 1,March,28,CORRECTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Otras,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,4,66,1.05,0,750.75
0BG2946750,2019,Qtr 1,March,28,CORRECTIVO,1.816667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,3,0.6,0.45416675,943.8
0BG2951627,2019,Qtr 1,March,28,CORRECTIVO,0.06666667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,15,10,0.8,0.0166666675,1258.4
0EX9293515,2019,Qtr 1,March,28,CORRECTIVO,0.03333334,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,8,0.6,0.006666668,819
0FBG479583,2019,Qtr 1,March,28,CORRECTIVO,1.383333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,4,7,0.8,0.2305555,1258.4
0PW4111396,2019,Qtr 1,March,28,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,3,156,0,0,1573
0BG2940184,2019,Qtr 1,March,29,CORRECTIVO,0.5,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,4,1,0.2,0.125,314.6
0BG2949312,2019,Qtr 1,March,29,CORRECTIVO,1.316667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,ESTADO DE MEXICO,2019,Qtr 2,April,1,36,1.1,0.32916675,1730.3
0CX0060974,2019,Qtr 1,March,29,CORRECTIVO,0.2333333,Entry Production Color Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color High,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,28,1.05,0.058333325,1651.65
0EX9293200,2019,Qtr 1,March,29,CORRECTIVO,1.633333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,SAN LUIS POTOSI,2019,Qtr 2,April,2,45,1.05,0.3266666,1433.25
0EX9297293,2019,Qtr 1,March,29,CORRECTIVO,2.083333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,1,35,1.05,0.4166666,1433.25
0VGW624391,2019,Qtr 1,March,29,CORRECTIVO,1.65,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,2,15,0.8,0.4125,1258.4
09HB321575,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0.1666667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,24,0,0,715
0BG2945208,2019,Qtr 1,March,31,CORRECTIVO,0.4,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,4,5,0.6,0.1,943.8
0BG2946786,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,1,3,0,0,1573
0C4X011068,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,1,17,0,0,715
0E2B646560,2019,Qtr 1,March,31,CORRECTIVO,1.3,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,2,46,1.1,0.325,1730.3
0EX9309804,2019,Qtr 1,March,31,CORRECTIVO,0.5166667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,QUERETARO,2019,Qtr 2,April,1,5,0,0.10333334,0
0XLV886888,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,30,0,0,715
K3A706937,2019,Qtr 1,March,31,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,1,109,0,0,715
03AG879712,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,54,0,0,1365
03AG880377,2019,Qtr 2,April,1,CORRECTIVO,1,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,1,11,0.6,0.2,819
03BT802413,2019,Qtr 2,April,1,CORRECTIVO,1.366667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,210,1.05,0.2733334,750.75
09HB333670,2019,Qtr 2,April,1,CORRECTIVO,0.9333333,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,1,17,0.6,0.18666666,429
0A1H020735,2019,Qtr 2,April,1,CORRECTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,4,47,1.1,0,1730.3
0A4T021913,2019,Qtr 2,April,1,CORRECTIVO,1.283333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,3,0,1.1,0,750.75
0A4T558109,2019,Qtr 2,April,1,CORRECTIVO,1.666667,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,3,383,1.05,0.3333334,750.75
0AE7146573,2019,Qtr 2,April,1,CORRECTIVO,3.95,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,5,313,1.1,0.79,1501.5
0BB1252119,2019,Qtr 2,April,1,CORRECTIVO,0.2833333,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,32,0.8,0.05666666,572
0BG0966721,2019,Qtr 2,April,1,CORRECTIVO,0.9333333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,9,4,0.6,0.233333325,943.8
0BG2940370,2019,Qtr 2,April,1,CORRECTIVO,1.433333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,12,12,0.8,0.35833325,1258.4
0BG2947159,2019,Qtr 2,April,1,CORRECTIVO,1.916667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,4,12,0.8,0.47916675,1258.4
0BG2947475,2019,Qtr 2,April,1,CORRECTIVO,0.5833333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,1,56,1.1,0.0972222166666667,1730.3
0BG2951676,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,1,4,0,0,1573
0C4X011834,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Otras,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,1,26,0,0,715
0C7X246843,2019,Qtr 2,April,1,CORRECTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,1,3,0,0,0
0E2B646633,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,2,25,0,0,1573
0E2B656860,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,48,0,0,1573
0EX7387236,2019,Qtr 2,April,1,CORRECTIVO,2.183333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,10,0.6,0.4366666,819
0EX7407523,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,2,25,0,0,1365
0EX9286123,2019,Qtr 2,April,1,CORRECTIVO,0.3,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,DURANGO,2019,Qtr 2,April,2,12,0.6,0.06,819
0EX9293168,2019,Qtr 2,April,1,CORRECTIVO,2.233333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,3,25,0.8,0.4466666,1092
0EX9293515,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,4,0,0,1365
0EX9664447,2019,Qtr 2,April,1,CORRECTIVO,0.45,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,10,0.6,0.09,819
0MX1216569,2019,Qtr 2,April,1,CORRECTIVO,1.633333,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,255,1.1,0.3266666,1501.5
0MX4465075,2019,Qtr 2,April,1,CORRECTIVO,0.3,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,GUANAJUATO,2019,Qtr 2,April,2,0,1.1,0,1501.5
0PW4152292,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,5,0,0,1573
0RXD109069,2019,Qtr 2,April,1,MANTENIMIENTO PREVENTIVO,0,Color Laser Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,3,14,0,0,715
0UHA002004,2019,Qtr 2,April,1,CORRECTIVO,1.75,High End Cut Sheet,1116,2145,0.6,0.8,1.05,1.1,1.15,1.2,INTERIOR,3,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,2,46,1.15,0.583333333333333,2466.75
0VGW632064,2019,Qtr 2,April,1,CORRECTIVO,0,A3 Professional Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,10,0.6,0,819
0X76092798,2019,Qtr 2,April,1,CORRECTIVO,1.55,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,264,1.1,0.31,1501.5
0X76707584,2019,Qtr 2,April,1,CORRECTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,QUERETARO,2019,Qtr 2,April,3,5,0,0,0
0X76707945,2019,Qtr 2,April,1,CORRECTIVO,1.183333,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Otras,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,1,6,0,0.131481444444444,0
0XEH798026,2019,Qtr 2,April,1,CORRECTIVO,0.25,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,3,6,0,0.05,0
0XEH805610,2019,Qtr 2,April,1,CORRECTIVO,1.116667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,1,53,1.05,0.2233334,1433.25
0XFN041395,2019,Qtr 2,April,1,CORRECTIVO,4.166667,Color Solid Ink Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Color Solid Ink Printers,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,2,69,1.05,0.8333334,750.75
0XFN041542,2019,Qtr 2,April,1,CORRECTIVO,3.966667,Color Solid Ink Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Color Solid Ink Printers,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,2,20,0.6,0.7933334,429
0XLT280678,2019,Qtr 2,April,1,CORRECTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Entry Mono Printers,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,3,36,0.8,0,572
0XPN396574,2019,Qtr 2,April,1,CORRECTIVO,0.05,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,3,6,0.6,0.0125,943.8
